text,phase,phase_name,position,coherence,divergence
Стабильное утверждение номер 0. Факты не противоречат друг другу.,0,stable,-0.4956062,-0.4471209,-0.04848531
Стабильное утверждение номер 1. Факты не противоречат друг другу.,0,stable,-0.4821552,-0.46509752,-0.017057687
Стабильное утверждение номер 2. Факты не противоречат друг другу.,0,stable,-0.4683408,-0.48166,0.013319194
Стабильное утверждение номер 3. Факты не противоречат друг другу.,0,stable,-0.47336406,-0.47949752,0.006133467
Стабильное утверждение номер 4. Факты не противоречат друг другу.,0,stable,-0.48350295,-0.47423586,-0.009267092
Стабильное утверждение номер 5. Факты не противоречат друг другу.,0,stable,-0.4708002,-0.48371515,0.012914956
Стабильное утверждение номер 6. Факты не противоречат друг другу.,0,stable,-0.48175532,-0.47422782,-0.0075275004
Стабильное утверждение номер 7. Факты не противоречат друг другу.,0,stable,-0.48068762,-0.4718819,-0.008805722
Стабильное утверждение номер 8. Факты не противоречат друг другу.,0,stable,-0.47651345,-0.47783116,0.0013177097
Стабильное утверждение номер 9. Факты не противоречат друг другу.,0,stable,-0.48189965,-0.47456706,-0.007332593
"Вопрос о факте номер 0. Возможно, это не совсем так?",1,doubt,-0.00050300173,-0.91598254,0.91547954
"Вопрос о факте номер 1. Возможно, это не совсем так?",1,doubt,0.014082791,-0.9395449,0.9536277
"Вопрос о факте номер 2. Возможно, это не совсем так?",1,doubt,0.03890595,-0.97373056,1.0126365
"Вопрос о факте номер 3. Возможно, это не совсем так?",1,doubt,0.03539908,-0.9744084,1.0098075
"Вопрос о факте номер 4. Возможно, это не совсем так?",1,doubt,0.026861997,-0.9693994,0.9962614
"Вопрос о факте номер 5. Возможно, это не совсем так?",1,doubt,0.04407884,-0.98638564,1.0304645
"Вопрос о факте номер 6. Возможно, это не совсем так?",1,doubt,0.015601875,-0.9576349,0.9732368
"Вопрос о факте номер 7. Возможно, это не совсем так?",1,doubt,0.00470859,-0.9407134,0.945422
"Вопрос о факте номер 8. Возможно, это не совсем так?",1,doubt,0.021147432,-0.9614416,0.982589
"Вопрос о факте номер 9. Возможно, это не совсем так?",1,doubt,0.0063262004,-0.9461088,0.952435
"Противоречие номер 0. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.4712304,-1.4036199,1.8748503
"Противоречие номер 1. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.4920435,-1.4365678,1.9286113
"Противоречие номер 2. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.53390586,-1.4983321,2.032238
"Противоречие номер 3. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.52167034,-1.489201,2.0108714
"Противоречие номер 4. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.5000127,-1.4702333,1.9702461
"Противоречие номер 5. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.52778924,-1.5017447,2.0295339
"Противоречие номер 6. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.49693465,-1.4657412,1.9626758
"Противоречие номер 7. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.4916467,-1.4538443,1.9454911
"Противоречие номер 8. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.50771564,-1.4750471,1.9827628
"Противоречие номер 9. Утверждение A утверждает одно, а B — противоположное.",2,conflict,0.49709976,-1.4646322,1.9617319
Синтез противоречий номер 0. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.95553434,-1.942993,2.8985274
Синтез противоречий номер 1. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.9716898,-1.9753678,2.9470577
Синтез противоречий номер 2. Оба утверждения могут быть верны в разных контекстах.,3,recovery,1.0027447,-2.0254066,3.0281513
Синтез противоречий номер 3. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.9872112,-2.0106769,2.997888
Синтез противоречий номер 4. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.9672756,-1.9914739,2.9587495
Синтез противоречий номер 5. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.98855805,-2.0157228,3.0042808
Синтез противоречий номер 6. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.96986055,-1.9916689,2.9615295
Синтез противоречий номер 7. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.96990037,-1.9853859,2.9552863
Синтез противоречий номер 8. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.98806214,-2.0119534,3.0000155
Синтез противоречий номер 9. Оба утверждения могут быть верны в разных контекстах.,3,recovery,0.97919345,-2.0044494,2.9836428
Новое стабильное состояние номер 0. Противоречия разрешены.,4,stable_new,1.3697326,-2.5317466,3.9014792
Новое стабильное состояние номер 1. Противоречия разрешены.,4,stable_new,1.3717123,-2.5458026,3.9175148
Новое стабильное состояние номер 2. Противоречия разрешены.,4,stable_new,1.4058487,-2.6040857,4.0099344
Новое стабильное состояние номер 3. Противоречия разрешены.,4,stable_new,1.3914802,-2.5928383,3.9843185
Новое стабильное состояние номер 4. Противоречия разрешены.,4,stable_new,1.3907139,-2.5963187,3.9870327
Новое стабильное состояние номер 5. Противоречия разрешены.,4,stable_new,1.4024571,-2.6136143,4.0160713
Новое стабильное состояние номер 6. Противоречия разрешены.,4,stable_new,1.3730619,-2.5717928,3.9448547
Новое стабильное состояние номер 7. Противоречия разрешены.,4,stable_new,1.3715899,-2.5656424,3.9372323
Новое стабильное состояние номер 8. Противоречия разрешены.,4,stable_new,1.3950317,-2.6007476,3.9957793
Новое стабильное состояние номер 9. Противоречия разрешены.,4,stable_new,1.3828048,-2.5872192,3.970024
